production_candidate_id,batch_number,sample_index,class_id,target_label,generation_seed,demonstration_seed,prompt_version,prompting_strategy,demonstration_source,demonstration_pool_size,demo_1,demo_2,demo_3,demo_4,generated_text
class2_batch007_sample011200,7,11200,2,Religious Hate,212200,216200,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,118,haha jaat dikha di bsdk antankbadi halala ki aulaad teri ammi ka halala hua tha phir to randi ke bacheðÿ¤£ðÿ¤£ðÿ˜…,tumri ma buhat hanzir hy jis ne tum jaise  yahodi kafir rhandi hanzir aurat ko paida kiya,abe jaana mullle sale bhikari !! halala k maje krwa apni maa ko,benchod randi  islam,abb gandu saali kya ho yaar
class2_batch007_sample011201,7,11201,2,Religious Hate,212201,216201,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,118,"malala the product of halala pehle burke se, halala se, bacche paida kerne se or gulami ki jindgi se to azadi lelo hindustaan se azadi to tumhare kukarm tumhe dilwa hi denge. kyuki terrorism failaoge to lat mar ke desh se bhagae jaoge. i am with my country and support caa, nrcðÿ˜‰.",apne profile mein whats app me fb twitter mein is bahadur nojawaan ki pic lga kr islam se or nabi ke din se mhbt ka izhaar kren or itna share kren ek yahoodi apne na pak iradoon se baaz ajaye is shakhs ne quraan pak ki hifazahat mein ek bhtareen mhbt ka jita jagta sabot dia hai,but we have a firm belief now that qadiyani and ahmedi neither want muslims nor pakistanis to live in a harmony,dekh le madarch*d islam ka nanga naach..babri par fate hue bawaseer ki tarah bhaunk raha tha na..us par bhi ab apne manhoos muh se kuch hag de..blood cousins ke incest ki paidaish,haan woh kya kar sakte ho ye randdi kutiya
class2_batch007_sample011202,7,11202,2,Religious Hate,212202,216202,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,118,but we have a firm belief now that qadiyani and ahmedi neither want muslims nor pakistanis to live in a harmony,"ye manhoos hinduon ki diwali k chakkar mai har jaga ki aur quality kharab hogai, bharwe","abbey halala ki paidaish, 5 baap ki aulaad. patthar baazi ke alawa kuchh kaam kara kabhi teri kaum ne ?",shia kaafir hai aur hum naam k musalmaan.,haan tum logon ko nahee pata hota k hamid mir mian sahab k bachy ho ya nahin .....koi bat kr rha hai tum logo ko
class2_batch007_sample011203,7,11203,2,Religious Hate,212203,216203,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,118,wehshi darandy easai yahodi hindo islam amanka ka mazhab,or wahan tumhara jahanumi ahmedi jo naaowz billah nabi hona ka dawa dar tha wo wo case hara tha or court sa bhag gya tha.nabi pak p.b.u.h allah ka akhri nabi han or on ka bad koi nabi nahi ae ga.ya ak haqeqat ha jo quran ma bhi ha.or 1947 ma pak islam ka name par bana tha.,bosdk yeh tumhare ghar me hota hai. saari k blouse me mote mote doodh dikhati firti hain tumhare dharam ki orate or hindu orat ko musalman ka l#nd aachaa lagta hai. yeh baat puri dunia janti hai,please all muslims come one page and unite  insha allah   yahoodi isreal finished all,aurat march aur atankwadi israel zindabad
class2_batch007_sample011204,7,11204,2,Religious Hate,212204,216204,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,118,jisko bhi hindu ki chudai par shak hai to ek baar mujh se chudwa kar dekho sab bhram dur ho jayega,typical muslim randi-rona taqia.,q teri bhen ko chuda hy dewbandion ny ..harami ki nasal,ye bat tum yahoodi ko bolo atankwadi tum ho jo musalman se nafrat ki aag me insaniyat ke sabse bade dushman yahoodi ko support karte ho ye log to face to face mara hai unlog chote bache ka upar bom feka kisi aurat ya admi bacha ko goli mar diya wi bhi waha ke civilian hi hai,q teri maa chod dete hain mulle
class2_batch007_sample011205,7,11205,2,Religious Hate,212205,216205,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,118,hindoo wo qom ha jinper koi nabi koi kitaab nazil nahi hoi. ye to yahoodi se bhi bad tar hen,qadiani ahmedi mirziee kaafir jo hen,"rt : q. woh kaun si qome he,jis ne such bhi bola phr bhi jahnum mein jayegi? ans: yahoodi or nasara qome. shahid sindh",sale halala molvi se tum karvao apni oorto ka or apni ma bahan ka bol heme rhe ho molvi kamre m apni bahan ko bej kar sina choda hota hoga tumhara,rt : ahmaddiya kutta
class2_batch007_sample011206,7,11206,2,Religious Hate,212206,216206,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,118,sali muslims randi. jihadi sali,"just the ten thousandth ""isolated"" instance of christian /jewish/hindu/ahmedi places of worship being attacked by crybabies who themselves can't handle some nutcase burning a book full of fiction stories.",sirf momin aya to yahoodi kum nasal marny laggaye agr sawa crore momin agaye to sochen kya hoga?hamen jagna hoga,bosdk yeh tumhare ghar me hota hai. saari k blouse me mote mote doodh dikhati firti hain tumhare dharam ki orate or hindu orat ko musalman ka l#nd aachaa lagta hai. yeh baat puri dunia janti hai,sali bajwa sali yahodi agent
class2_batch007_sample011207,7,11207,2,Religious Hate,212207,216207,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,118,tum log yahoodi ho kisi ko shuck nahi hona chaheye bus kafi hogae musalmanon ko aur dhoka na dou👹,that's for foolish act and the ahmedi you highlighted they were equal to jews for us so alhmdurallah we save quran ! . and about hindus and christians its was a false news !  and if it is real then show me !  if you don't have anything then shut up and run !,oy ahmdi kuty. tum log smjhty ho k is trah kr k hm awam ko pagl bnao gy?? beta bajwa ne tere jeso ko nanga nachana he sbr kr. kahi ni ja rha hmara army chief. tum logo ne agly 3 sal me ye duniya hi chor jani bajwa k dar se. ye army chief nahi pakistan ka muhafiz he.,or mujhe un ladkiyo se utni hi nafrat hai jo mullo se shadi karti hai jitni kisi normal hindu ko😡 or mujhe hindu ladko se bhi itni hi nafrat hai jo muslim ladkiyo se shadi karte hai... dharam me koi milawat mujhe pasand nahi,hmm.. 30 saal pe bhi toh apny baap ki tarah behn ke barein mein koi bat nahi kiya tha yaad rakh lo
class2_batch007_sample011208,7,11208,2,Religious Hate,212208,216208,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,118,"pta nhi kon si uni se graduate hote ho aap log jnha aesi wahiyat education di jati hðÿ˜‚ðÿ˜‚ðÿ˜‚ halala, gazwa-e-hind, camel urine or pta nhi kya kyaðÿ˜‚ðÿ˜‚ðÿ˜‚ðÿ¤£ðÿ¤£ðÿ¤£ðÿ¤£ðÿ‘ðÿ»",tw kaafir tera peo kaafir tera pura khandaan kaafir ooo churry trump🐱🐱,1 balatkari muslim 3 balatkari tera baap hindu h uske bare m kuch bol  be,israel yahoodi sabse bade atankwaadi hai,ye lanat ka sara ghar qadiyani hai
class2_batch007_sample011209,7,11209,2,Religious Hate,212209,216209,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,118,yahoodi kabhi hamara dost nhi ho sakta,"m firqa wariyat m nahi parhna chahta, muslims mjo ahktlaf hen wo apni jaga , lekin pichly 200 saal sy muslim is liye mar kha rhy hen k sunni shia wahabi dayobandi bla bla ,,yahodi or nasara ny na koi sunni mulk chora ha na koi shia,  wo bs yehi dekhtay ye muslman ha ..bs maro isk",please sell up you yahoodi bastards,shia kaafir hai aur hum naam k musalmaan.,kisi ko yad hi nhi karnay kiya bss
