sample_index,class_id,target_label,generated_text,generation_seed,demonstration_seed,prompt_version,prompting_strategy,demonstration_source,demonstrations,temperature,top_p,repetition_penalty,max_new_tokens
0,2,Religious Hate,tery baap ne tu gaddar hi banaya tha...tum sab muslim hn or bhag jao,201000,205000,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,"[""bilkul,itny lecture milny hain jese christmas or new year pe milty hain ,kya apko pata bhi hai k kaafir janwaro k haqq main dua bhi nahi krni chahye"", ""m firqa wariyat m nahi parhna chahta, muslims mjo ahktlaf hen wo apni jaga , lekin pichly 200 saal sy muslim is liye mar kha rhy hen k sunni shia wahabi dayobandi bla bla ,,yahodi or nasara ny na koi sunni mulk chora ha na koi shia,  wo bs yehi dekhtay ye muslman ha ..bs maro isk"", ""kisi randi maa ki olad ap ki hindu aurtain jab pooja karti hn tab wo bagwan ka lund mounh me b leti hn?"", ""tum log yahoodi ho kisi ko shuck nahi hona chaheye bus kafi hogae musalmanon ko aur dhoka na dou👹""]",0.7,0.9,1.15,60
1,2,Religious Hate,teri maa ki phudi mein lanti tere jaise muslamanon ke nikal,201001,205001,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,"[""yahoodi ko hitler ne chora or general ne in jaajoon ko chor k dhkya k ye kai hain.😂"", ""qadiyani pe lanat mirza khinzeer harami pe lanat."", ""abe halala ki paidaish..  tumhara to wajood hi 800 years purana hai..  jab bhagwan ram ko kagaj dikhane ki jarurat par gayi to tum kaun ho.. kagaj to dikhana hi parega.. #nrc_caa_npr"", ""m firqa wariyat m nahi parhna chahta, muslims mjo ahktlaf hen wo apni jaga , lekin pichly 200 saal sy muslim is liye mar kha rhy hen k sunni shia wahabi dayobandi bla bla ,,yahodi or nasara ny na koi sunni mulk chora ha na koi shia,  wo bs yehi dekhtay ye muslman ha ..bs maro isk""]",0.7,0.9,1.15,60
2,2,Religious Hate,yar baat mat karte tu apny baap ka baap sy larkiyon ko bachana chahtay ho???,201002,205002,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,"[""iran shia mulk ha or ye munafik log han"", ""malala the product of halala pehle burke se, halala se, bacche paida kerne se or gulami ki jindgi se to azadi lelo hindustaan se azadi to tumhare kukarm tumhe dilwa hi denge. kyuki terrorism failaoge to lat mar ke desh se bhagae jaoge. i am with my country and support caa, nrcðÿ˜‰."", ""phir kehty hum bhot badry #muslim hn aur #ashaq_e_rasool sawm hain lanat hai un sab #haramio py jinho ny bibi fatima zahra ko shahheed kia aur #haq khaya 🖐🏻😡🐕 aur lanat un sab py jo un #haramio ky hamdard hain"", ""please don't share his obnoxious face to me. below is the image of the book rohani khzain from ahmedi's official website see what your evil messiah has declared god but you had said you have read the books of mirza and accepted him mehdi may god give you hidyath""]",0.7,0.9,1.15,60
3,2,Religious Hate,mulle bharwe yahan wahan aati hai ye duniya hamara hi mulk hai,201003,205003,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,"[""obviously we muslims hate ahmedi's . 😡 we don't care whatever happens to them ! we just hate them. if their is oppression over other minorities in pakistan which is not usual alhamdolillah, then i condemn that."", ""madarchod muslaman ki kaum madarchod saalo ka imaan nahi hai bheno ko chod te hai bhen ke lode harmazaade uskiye apni  maa ki chut bhi chodta hoga aur chuswata hoga logo se saare musalamaan raand ki olad islam ki maa ki chut"", ""path of cruelty , path of violence, path of halala , path of tripe talaq, path of marrying 6 years old aisha,path to discipline their wives by beating them,path of hurun,path of apostasy,path of punishable apostasy, path of beheading. what a pissful religion izlam is ðÿ‘"", ""abe jaana mullle sale bhikari !! halala k maje krwa apni maa ko""]",0.7,0.9,1.15,60
4,2,Religious Hate,"abey, behan tu samaj kro, mera jaan hai",201004,205004,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,"[""sali muslims randi. jihadi sali"", ""afghanio ne tme hindu se bachaya,randi k aulaad tareekh paro tm wo ganda khoon ho,jo siko aour hindu ki rape se paida woe ho,tme kalima tho sikaya afghano ne,magar tmari gandi dna wai ranjeet sing wali a,randi k aulaad tm ne kah pana di,am pashtono ne di,apnay bio ko hera mandi"", ""rt : q. woh kaun si qome he,jis ne such bhi bola phr bhi jahnum mein jayegi? ans: yahoodi or nasara qome. shahid sindh"", ""in beghairto israel yahodi khanzeer kai bacho nai kia kuch nahen kia hain lekhin alhamdulillah islam wahid deen jo mohabbat sikhati hain nakai nafrat aur ye sab sai tezi sai phelta huwa deen hain is liye inko jalan ho rahi hain aur har koshish kar bhe chukai hain aur kar bhe""]",0.7,0.9,1.15,60
5,2,Religious Hate,apni maa ko goli marne wala teri maa chod gayee thi saalee,201005,205005,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,"[""tum log yahoodi ho kisi ko shuck nahi hona chaheye bus kafi hogae musalmanon ko aur dhoka na dou👹"", ""ye manhoos hinduon ki diwali k chakkar mai har jaga ki aur quality kharab hogai, bharwe"", ""wehshi darandy easai yahodi hindo islam amanka ka mazhab"", ""that's for foolish act and the ahmedi you highlighted they were equal to jews for us so alhmdurallah we save quran ! . and about hindus and christians its was a false news !  and if it is real then show me !  if you don't have anything then shut up and run !""]",0.7,0.9,1.15,60
6,2,Religious Hate,ye logon ne baz e mohtaj ki zarurat hi nahi kaha thi usko phly tumhee yahan se pta chala ga,201006,205006,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,"[""sali muslims randi. jihadi sali"", ""ye insan ik chaaal haaa dostoo .........zra smj k chliye gaa...sb jaanty hn qadyaani kaafir hn ......ye sb k sentiments gain kr rhaa haa......bad me ye apna chehra dikhiye gaaa fasad kii shkal me.....in chaaalo sy hosyar rhy baseerat paida kry sb apny andr.. shukria..."", ""hey are fighting amongst each other. #bajwa is compromise candidate. thats only reason why he a ahmadiya is a coas."", ""that nigga was yahoodi he probably lied to all the employees""]",0.7,0.9,1.15,60
7,2,Religious Hate,tere baap ke pass pakistan ki dushman hain yahodi,201007,205007,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,"[""is cult  mein kisi boht hi pyare ko kho dene k baad uski qaber pe phool rakhna b jurm hai west mein qaberisat se phool chura k un ko sale kr k ahmdi chanda dia karte hain takey ragister se naam na kut jaye"", ""oeyy randdii k bachay ganddu hindu.. kyun jhoott baq raha hai gashti maa k ganndduu bachay. peshaab p k palnay wali qoum."", ""get lost you kaafir."", ""wow halala's product on fire as usual porkistaniðÿ˜‚ðÿ˜‚ðÿ˜‚""]",0.7,0.9,1.15,60
8,2,Religious Hate,aurat march se harami halala ki pedawar,201008,205008,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,"[""wehshi darandy easai yahodi hindo islam amanka ka mazhab"", ""please don't share his obnoxious face to me. below is the image of the book rohani khzain from ahmedi's official website see what your evil messiah has declared god but you had said you have read the books of mirza and accepted him mehdi may god give you hidyath"", ""lanat abbtknews k khilaf trend bnane walye yazeedion pe r bibi k dushmano p bhi"", ""kaafir tujhe kuch nai malum""]",0.7,0.9,1.15,60
9,2,Religious Hate,jb tu hmari soch sy mohsin na ho ga tab to esa hi karwa dunga koi,201009,205009,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,"[""kabi bi nai jo sakta ya shia log pora ka pora yahodi hn"", ""quaid azam was right ky hindu muslim kabhi sth nhi rhy sgty aaj hindu apni hasli shakl dekha rhy hn. agar kisi muslim ny aisa kia hota to india media ki maa mar gi hoti pr ab nhi boly gy. aagy ka ky yehi bol dn gy ky mentally disturb tha or case khtm .#jamia"", ""plz sir hamy in say koi khtra nahi hamy is imran khan yahodi our kadiyanion say bachny pay gor karen pak army tayri azmat ko salam"", ""yahodi agent qadyani chamcha""]",0.7,0.9,1.15,60
10,2,Religious Hate,kuch bhi matlab tu kisi ka charsi hi nikla hay,201010,205010,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,"[""meri tarbiyat yehi hai k jo amreca ko apna baap manta hai na wo muslman hai or na us s koi hanra taloq hai tum nasl e yazeedi ho masl e yahodi or yahoodio ki olad ho"", ""jaa bhen k lory tum harrami ki nasal ho.. dewband maslak pe kutty ki tareh bhoonkty ho.."", ""ho gaye hy aur han aj jo ye sekhon k liye kar raha hy ye whoi sekh hy jub pakistan azad howa tha aur muslmano ne jub india sa hijrat ki tub sub zada qatal muslim ko in sekhon ne kiya tha par afsos ap jesy log is yahodi e agent ko ek islami leader mante ho phir kasm khao k allah"", ""huh wut you say u imbecile, i shat on you...toh toh toh kaafir""]",0.7,0.9,1.15,60
11,2,Religious Hate,wo kya bolta hai?  😂,201011,205011,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,"[""yahodi agent qadyani chamcha"", ""kaafir tujhe kuch nai malum"", ""haha jaat dikha di bsdk antankbadi halala ki aulaad teri ammi ka halala hua tha phir to randi ke bacheðÿ¤£ðÿ¤£ðÿ˜…"", ""ahmedi mirziee qadiyani hargiz kuleedi uhdu pe nhee janay chahien warna hmari agencies pe swalia nishan hey""]",0.7,0.9,1.15,60
12,2,Religious Hate,tu lund peetha hai nikal dunga,201012,205012,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,"[""tumhri maa kk chodu sale apni maa ko chod ke paida hone wale randi ki aulad sale apni behan ko biwi bana ke rkhne wale muhammad ki nazayaj aulad"", ""wow halala's product on fire as usual porkistaniðÿ˜‚ðÿ˜‚ðÿ˜‚"", ""m firqa wariyat m nahi parhna chahta, muslims mjo ahktlaf hen wo apni jaga , lekin pichly 200 saal sy muslim is liye mar kha rhy hen k sunni shia wahabi dayobandi bla bla ,,yahodi or nasara ny na koi sunni mulk chora ha na koi shia,  wo bs yehi dekhtay ye muslman ha ..bs maro isk"", ""huh wut you say u imbecile, i shat on you...toh toh toh kaafir""]",0.7,0.9,1.15,60
13,2,Religious Hate,tum logon ki maa ko goli maar do,201013,205013,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,"[""ahmedi mirziee qadiyani hargiz kuleedi uhdu pe nhee janay chahien warna hmari agencies pe swalia nishan hey"", ""path of cruelty , path of violence, path of halala , path of tripe talaq, path of marrying 6 years old aisha,path to discipline their wives by beating them,path of hurun,path of apostasy,path of punishable apostasy, path of beheading. what a pissful religion izlam is ðÿ‘"", ""m firqa wariyat m nahi parhna chahta, muslims mjo ahktlaf hen wo apni jaga , lekin pichly 200 saal sy muslim is liye mar kha rhy hen k sunni shia wahabi dayobandi bla bla ,,yahodi or nasara ny na koi sunni mulk chora ha na koi shia,  wo bs yehi dekhtay ye muslman ha ..bs maro isk"", ""in beghairto israel yahodi khanzeer kai bacho nai kia kuch nahen kia hain lekhin alhamdulillah islam wahid deen jo mohabbat sikhati hain nakai nafrat aur ye sab sai tezi sai phelta huwa deen hain is liye inko jalan ho rahi hain aur har koshish kar bhe chukai hain aur kar bhe""]",0.7,0.9,1.15,60
14,2,Religious Hate,woh bacha mulla hai jo hamari madina ki goliyan ka sath dikh raha hai,201014,205014,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,"[""jisko bhi hindu ki chudai par shak hai to ek baar mujh se chudwa kar dekho sab bhram dur ho jayega"", ""poocho hamarai imam sai kai quran mein kaha likha huwa hain aisai ye sirf yahodi khanzeer logo ki chaal hainmuslims ko badnaam karkai liye  zara socho na tumharai hinduism ko badnaam kyun nahen kartai islam kai peechai kyun parai huwai hain zara dimagh ko khol kai socho"", ""phir kehty hum bhot badry #muslim hn aur #ashaq_e_rasool sawm hain lanat hai un sab #haramio py jinho ny bibi fatima zahra ko shahheed kia aur #haq khaya 🖐🏻😡🐕 aur lanat un sab py jo un #haramio ky hamdard hain"", ""uff pakiza muslim randi 😉😍""]",0.7,0.9,1.15,60
15,2,Religious Hate,#mahirakapashteen is a london based anti-ahmadiya and qadyani agent who is spreading lies about imran khan on social media,201015,205015,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,"[""quaid azam was right ky hindu muslim kabhi sth nhi rhy sgty aaj hindu apni hasli shakl dekha rhy hn. agar kisi muslim ny aisa kia hota to india media ki maa mar gi hoti pr ab nhi boly gy. aagy ka ky yehi bol dn gy ky mentally disturb tha or case khtm .#jamia"", ""in beghairto israel yahodi khanzeer kai bacho nai kia kuch nahen kia hain lekhin alhamdulillah islam wahid deen jo mohabbat sikhati hain nakai nafrat aur ye sab sai tezi sai phelta huwa deen hain is liye inko jalan ho rahi hain aur har koshish kar bhe chukai hain aur kar bhe"", ""but we have a firm belief now that qadiyani and ahmedi neither want muslims nor pakistanis to live in a harmony"", ""chutiya azam ny kia kia ha ab tk sawa saal mein sirf 11600 arab ka izfa qarzoun mein kia or kuch nhi badlo apni soch ko yahodi na bano or ek muslim ki tarh socho""]",0.7,0.9,1.15,60
16,2,Religious Hate,apne gand mein kuch nhi dekhte  yahan se nahi bolta,201016,205016,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,"[""benchod randi  islam"", ""how did an ahmadiya get to the top in the army of sunnis, in the first place?"", ""pislam me media ka estemal kerna haram hai  halala ki paidais"", ""hindu dharm ka matlab samajh pehle puppet khali bhaunk aur bhaunk iam enjoying ur bark 😂😂😂😂""]",0.7,0.9,1.15,60
17,2,Religious Hate,bajwa ki bat kr rha thi ye gandhi ka shoq bnaya,201017,205017,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,"[""but we have a firm belief now that qadiyani and ahmedi neither want muslims nor pakistanis to live in a harmony"", ""just the ten thousandth \""isolated\"" instance of christian /jewish/hindu/ahmedi places of worship being attacked by crybabies who themselves can't handle some nutcase burning a book full of fiction stories."", ""ahmedi mirziee qadiyani hargiz kuleedi uhdu pe nhee janay chahien warna hmari agencies pe swalia nishan hey"", ""yahodi agent qadyani chamcha""]",0.7,0.9,1.15,60
18,2,Religious Hate,lanati yahodi kuttay,201018,205018,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,"[""yahoodi ko hitler ne chora or general ne in jaajoon ko chor k dhkya k ye kai hain.😂"", ""path of cruelty , path of violence, path of halala , path of tripe talaq, path of marrying 6 years old aisha,path to discipline their wives by beating them,path of hurun,path of apostasy,path of punishable apostasy, path of beheading. what a pissful religion izlam is ðÿ‘"", ""qadiyani pe lanat mirza khinzeer harami pe lanat."", ""jahil k bachy kahan likha h k gair mazhb sy nikaah jaiz ha... tmari gand me jo keera ha wo nhi merna... khoty khany waly... yahoodi kahan sy hogaey ahle kitaab ....tm.b yahoodi to nhi""]",0.7,0.9,1.15,60
19,2,Religious Hate,kya dekh lo ye bhai hain?,201019,205019,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,"[""iran shia mulk ha or ye munafik log han"", ""chal fosdi ke mohammad kabile wale ki halala ki aulad"", ""plz sir hamy in say koi khtra nahi hamy is imran khan yahodi our kadiyanion say bachny pay gor karen pak army tayri azmat ko salam"", ""tw kaafir tera peo kaafir tera pura khandaan kaafir ooo churry trump🐱🐱""]",0.7,0.9,1.15,60
