production_candidate_id,batch_number,sample_index,class_id,target_label,generation_seed,demonstration_seed,prompt_version,prompting_strategy,demonstration_source,demonstration_pool_size,demo_1,demo_2,demo_3,demo_4,generated_text,source_batch_file,word_count,is_empty,has_urdu_script,has_latin_content,is_non_linguistic,is_too_short,is_too_long,is_exact_duplicate,stage0_rejection_reason,stage0_pass,xlmr_predicted_class_id,xlmr_predicted_class,stage1_pass,stage1_rejection_reason,stage2_max_similarity,stage2_mean_top10_similarity,stage2_nearest_real_text,stage2_nearest_real_similarity,stage2_pass,stage2_rejection_reason
class4_batch004_sample030635,4,30635,4,Profane,431635,435635,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,"rt : yaar magar wifi bandh na karna, missile vissile daal do koi dikkat nahi, magar internet chahiye bc",bauhat sardi hai bc,i hate ors bhenchod,mera bhi yaar bhai...jindgi jhand ho gya hai bhenchodv 3 t20 me 300 rupya haar gye....,i am not a virgin bc,profane_batch_004.csv,6,False,False,True,False,False,False,False,,True,4,Profane,True,,0.847645103931427,0.823426365852356,kis ka bc,0.847645103931427,False,Below semantic similarity threshold
class4_batch005_sample030854,5,30854,4,Profane,431854,435854,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,i hate ors bhenchod,fuck man. the pain is traveling. bhenchod ye naya e corridor khul gya hai.,slept for only 4 hours last night bc match daikhty daikhty girny wala hua wa hun,bauhat sardi hai bc,i am just saying it because he has been getting so much media attention lately bc,profane_batch_005.csv,16,False,False,True,False,False,False,False,,True,4,Profane,True,,0.8142340779304504,0.8101707696914673,like its about fucking time bhenchod,0.8142340779304504,False,Below semantic similarity threshold
class4_batch005_sample030894,5,30894,4,Profane,431894,435894,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod what a goal!,bc 40 rupees karaya kar diya hai is se acha to banda uber ya cream karwa laye 😏😏😏,rt : fariha without fa is riha and  riha kerdo koi bhenchod is zindagi se,i should've a bhenchod counter which will count the amount of times i've sad bhenchod,bc 40 rupees karaya kar diya hai is se acha to banda uber ya cream karwa le 😏😏😏,profane_batch_005.csv,18,False,False,True,False,False,False,False,,True,4,Profane,True,,0.9988130927085876,0.9051833152770996,bc 40 rupees karaya kar diya hai is se acha to banda uber ya cream karwa laye 😏😏😏,0.9988130927085876,False,Potential duplicate / near-duplicate
class4_batch005_sample030960,5,30960,4,Profane,431960,435960,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod kya hai ye sb,kyaaaa musibbaattt ha yr sara mood khraab kr diya ha bc,rt : asa kon ludo khelta hi bc ....😇,slept for only 4 hours last night bc match daikhty daikhty girny wala hua wa hun,rt : asa kon ludo khelta hi bc ....😇,profane_batch_005.csv,9,False,False,True,False,False,False,False,,True,4,Profane,True,,1.0,0.926477313041687,rt : asa kon ludo khelta hi bc ....😇,1.0,False,Potential duplicate / near-duplicate
class4_batch005_sample030995,5,30995,4,Profane,431995,435995,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,inn coaching vaalou ko kaise pta chal jaata hai mera result bhenchod.,code bhee saaf karna hai abheeee bc,rt : kisi ko bhulnay k liye ussay yaad karna parta hai. aur idhr bhenchod yaad hi ati rehti hai bus,bhenchod exams uff,bhenchod yeh kya huwa hai,profane_batch_005.csv,5,False,False,True,False,False,False,False,,True,4,Profane,True,,0.9831718802452087,0.9524459838867188,bhenchod ye kya hai,0.9831718802452087,False,Potential duplicate / near-duplicate
class4_batch006_sample031004,6,31004,4,Profane,432004,436004,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod kya hai ye sb,ajeeeeb bc 😒😂,main 5'8 ke sath bh chota lgta hn bc😶😑😑😑,bhenchod syllabus kuch aur..aur padhke kuch aur gaya.,bhenchod yeh sahi kia hai,profane_batch_006.csv,5,False,False,True,False,False,False,False,,True,4,Profane,True,,0.9808259010314941,0.9527267217636108,bhenchod ye kya hai,0.9808259010314941,False,Potential duplicate / near-duplicate
class4_batch006_sample031012,6,31012,4,Profane,432012,436012,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,"tm jao ma ni ja rha, pehly he adhi zindagi saffr mein guzr gai bc meri.",bhenchod what a goal!,rona araha hai bhenchod why am i such a clown why am i so unimportant,bhenchod aaj sirf roneka mann kar raha hai,bhenchod ye kya hi baat hai,profane_batch_006.csv,6,False,False,True,False,False,False,False,,True,4,Profane,True,,0.9868160486221313,0.9560145139694214,bhenchod ye kya hai,0.9868160486221313,False,Potential duplicate / near-duplicate
class2_batch008_sample011586,8,11586,2,Religious Hate,212586,216586,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,118,is cult  mein kisi boht hi pyare ko kho dene k baad uski qaber pe phool rakhna b jurm hai west mein qaberisat se phool chura k un ko sale kr k ahmdi chanda dia karte hain takey ragister se naam na kut jaye,that nigga was yahoodi he probably lied to all the employees,apne profile mein whats app me fb twitter mein is bahadur nojawaan ki pic lga kr islam se or nabi ke din se mhbt ka izhaar kren or itna share kren ek yahoodi apne na pak iradoon se baaz ajaye is shakhs ne quraan pak ki hifazahat mein ek bhtareen mhbt ka jita jagta sabot dia hai,well said.lanati hain ye qadyani kafir,is cult mein kisi bohot hi pyare ko kho dene k baad uski qaber pe phool rakhna b jurm hai west mein qaberisat se phool chura k un ko sale kr k ahmedi chanda dia kar,religious_hate_batch_008.csv,36,False,False,True,False,False,False,False,,True,2,Religious Hate,True,,0.988275408744812,0.8948006629943848,is cult  mein kisi boht hi pyare ko kho dene k baad uski qaber pe phool rakhna b jurm hai west mein qaberisat se phool chura k un ko sale kr k ahmdi chanda dia karte hain takey ragister se naam na kut jaye,0.988275408744812,False,Potential duplicate / near-duplicate
class2_batch010_sample011823,10,11823,2,Religious Hate,212823,216823,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,118,"obviously we muslims hate ahmedi's . 😡 we don't care whatever happens to them ! we just hate them. if their is oppression over other minorities in pakistan which is not usual alhamdolillah, then i condemn that.",kaafir tujhe kuch nai malum,ye bat tum yahoodi ko bolo atankwadi tum ho jo musalman se nafrat ki aag me insaniyat ke sabse bade dushman yahoodi ko support karte ho ye log to face to face mara hai unlog chote bache ka upar bom feka kisi aurat ya admi bacha ko goli mar diya wi bhi waha ke civilian hi hai,no no ...... hindu na kah mujhe ........islam bura maan jayega .......kaafir kah kaafir...,kaafir tujhme khud hi nahin samjhte,religious_hate_batch_010.csv,6,False,False,True,False,False,False,False,,True,2,Religious Hate,True,,0.9846763610839844,0.9396098256111145,kaafir tujhe kuch nai malum,0.9846763610839844,False,Potential duplicate / near-duplicate
class3_batch007_sample021284,7,21284,3,Sexism,322284,326284,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Sexism examples,40,shazaib apni baji ko b bejna han aurat march ma agr itne he zruri hai to,#stopauratbarbadimarch aurat ghr k andr hi achi lgti he yu sarkon par nikalna kisi bhi aurat ki izzat par daag lga skta he,acha tareka dhondha hai larkun ko ganda sabit karny ka but aesi neech harkat larkyan he kar sakti hain larky nahi.,tu kyun ro rahe hai hijra? tera buddhe hijra to kamjor mard hai. uska kara nehi hota. 🤣🤣🤣🤣,randi saali,sexism_batch_007.csv,2,False,False,True,False,False,False,False,,True,3,Sexism,True,,1.0,0.9416087865829468,randi saali,1.0,False,Potential duplicate / near-duplicate
