production_candidate_id,batch_number,sample_index,class_id,target_label,generation_seed,demonstration_seed,prompt_version,prompting_strategy,demonstration_source,demonstration_pool_size,demo_1,demo_2,demo_3,demo_4,generated_text,source_batch_file,word_count,is_empty,has_urdu_script,has_latin_content,is_non_linguistic,is_too_short,is_too_long,is_exact_duplicate,stage0_rejection_reason,stage0_pass
class4_batch001_sample030112,1,30112,4,Profane,431112,435112,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,neend aa rhi h bc main sone jaa rhi hu 😂,rt : kisi ko bhulnay k liye ussay yaad karna parta hai. aur idhr bhenchod yaad hi ati rehti hai bus,bc 40 rupees karaya kar diya hai is se acha to banda uber ya cream karwa laye 😏😏😏,fuck man. the pain is traveling. bhenchod ye naya e corridor khul gya hai.,charsi...,profane_batch_001.csv,1,False,False,True,False,True,False,False,Too short,False
class4_batch002_sample030231,2,30231,4,Profane,431231,435231,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,code bhee saaf karna hai abheeee bc,2 years ago i asked my father for my own car. so he said “hbl car loan se lelo” bc itni khajal khawari keh tang akar i bought used honda civic. and mine is way better than new honda city. or sashky apny,bhenchod exams uff,bhenchod kya hai ye sb,bahanchod,profane_batch_002.csv,1,False,False,True,False,True,False,False,Too short,False
class4_batch003_sample030501,3,30501,4,Profane,431501,435501,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,fuck man. the pain is traveling. bhenchod ye naya e corridor khul gya hai.,naak bandd ho gya bc.,my entire neighborhood is making weird sounds bhenchod shaddi hai kya,dil sumbhal ja zra bhenchod,bhenchod,profane_batch_003.csv,1,False,False,True,False,True,False,False,Too short,False
class2_batch001_sample010057,1,10057,2,Religious Hate,211057,215057,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,118,ho gaye hy aur han aj jo ye sekhon k liye kar raha hy ye whoi sekh hy jub pakistan azad howa tha aur muslmano ne jub india sa hijrat ki tub sub zada qatal muslim ko in sekhon ne kiya tha par afsos ap jesy log is yahodi e agent ko ek islami leader mante ho phir kasm khao k allah,jaa bhen k lory tum harrami ki nasal ho.. dewband maslak pe kutty ki tareh bhoonkty ho..,"obviously we muslims hate ahmedi's . 😡 we don't care whatever happens to them ! we just hate them. if their is oppression over other minorities in pakistan which is not usual alhamdolillah, then i condemn that.",aye yahudiyo jitna zulm karna hai kar lo in sha allah woh din bhi zaroor aayega ke tumhe chun chun ke maara jayega yahan tak ke tum darakht ya pattharoñ ke piche chhup jaoge to bejan chizen bhi kahengi yahan yahoodi chhupa hai.hadees ka farman hai ho kar rahega #israeliterrorism,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,religious_hate_batch_001.csv,1,False,False,False,True,True,False,False,No Latin text; Too short,False
class2_batch001_sample010174,1,10174,2,Religious Hate,211174,215174,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,118,"abbey halala ki paidaish, 5 baap ki aulaad. patthar baazi ke alawa kuchh kaam kara kabhi teri kaum ne ?","bilkul,itny lecture milny hain jese christmas or new year pe milty hain ,kya apko pata bhi hai k kaafir janwaro k haqq main dua bhi nahi krni chahye",madarchod muslaman ki kaum madarchod saalo ka imaan nahi hai bheno ko chod te hai bhen ke lode harmazaade uskiye apni  maa ki chut bhi chodta hoga aur chuswata hoga logo se saare musalamaan raand ki olad islam ki maa ki chut,qadiani ahmedi mirziee kaafir jo hen,haramzada,religious_hate_batch_001.csv,1,False,False,True,False,True,False,False,Too short,False
class2_batch002_sample010200,2,10200,2,Religious Hate,211200,215200,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,118,"bilkul,itny lecture milny hain jese christmas or new year pe milty hain ,kya apko pata bhi hai k kaafir janwaro k haqq main dua bhi nahi krni chahye",tum log yahoodi ho kisi ko shuck nahi hona chaheye bus kafi hogae musalmanon ko aur dhoka na dou👹,get lost you kaafir.,ye pagliya gyi h saali... kuttiya ye ab bhul gyi h jisne #halala or #teentlaaq se aazadi dilwayi usko bhul gyi h ye mullli....,halala ki paidaish,religious_hate_batch_002.csv,3,False,False,True,False,False,False,True,Exact duplicate,False
class2_batch002_sample010337,2,10337,2,Religious Hate,211337,215337,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,118,qadiani ahmedi mirziee kaafir jo hen,quaid azam was right ky hindu muslim kabhi sth nhi rhy sgty aaj hindu apni hasli shakl dekha rhy hn. agar kisi muslim ny aisa kia hota to india media ki maa mar gi hoti pr ab nhi boly gy. aagy ka ky yehi bol dn gy ky mentally disturb tha or case khtm .#jamia,"pta nhi kon si uni se graduate hote ho aap log jnha aesi wahiyat education di jati hðÿ˜‚ðÿ˜‚ðÿ˜‚ halala, gazwa-e-hind, camel urine or pta nhi kya kyaðÿ˜‚ðÿ˜‚ðÿ˜‚ðÿ¤£ðÿ¤£ðÿ¤£ðÿ¤£ðÿ‘ðÿ»",please don't share his obnoxious face to me. below is the image of the book rohani khzain from ahmedi's official website see what your evil messiah has declared god but you had said you have read the books of mirza and accepted him mehdi may god give you hidyath,#qadyani_pakistani,religious_hate_batch_002.csv,1,False,False,True,False,True,False,False,Too short,False
class2_batch002_sample010348,2,10348,2,Religious Hate,211348,215348,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,118,that nigga was yahoodi he probably lied to all the employees,"rt : q. woh kaun si qome he,jis ne such bhi bola phr bhi jahnum mein jayegi? ans: yahoodi or nasara qome. shahid sindh",q teri bhen ko chuda hy dewbandion ny ..harami ki nasal,abe bharwe tum hindu hi duniya k sub se bara atankwaz ho haramiyon bt krte ho hamare age tumhari country me hindu k elawa koi safe nhi he  tumhari country ka name isi liye  lynchistan he  isi king all the world,halala ki paidaish,religious_hate_batch_002.csv,3,False,False,True,False,False,False,True,Exact duplicate,False
class2_batch002_sample010355,2,10355,2,Religious Hate,211355,215355,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,118,kitane maulviyon ne tumhari ammi jaan ka halala kiya hoga tab jakar tum jaisa suar nikla hoga .. ye bhi to bta re mulle..,bosdk yeh tumhare ghar me hota hai. saari k blouse me mote mote doodh dikhati firti hain tumhare dharam ki orate or hindu orat ko musalman ka l#nd aachaa lagta hai. yeh baat puri dunia janti hai,that nigga was yahoodi he probably lied to all the employees,another endian hijra coward hindu terrorist army soldier dispatched to shamshangarh by pakistan army i want more endian hindu terrorist dead so keep it up pakistan,bharwe,religious_hate_batch_002.csv,1,False,False,True,False,True,False,False,Too short,False
class2_batch003_sample010400,3,10400,2,Religious Hate,211400,215400,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,118,apne profile mein whats app me fb twitter mein is bahadur nojawaan ki pic lga kr islam se or nabi ke din se mhbt ka izhaar kren or itna share kren ek yahoodi apne na pak iradoon se baaz ajaye is shakhs ne quraan pak ki hifazahat mein ek bhtareen mhbt ka jita jagta sabot dia hai,dekh le madarch*d islam ka nanga naach..babri par fate hue bawaseer ki tarah bhaunk raha tha na..us par bhi ab apne manhoos muh se kuch hag de..blood cousins ke incest ki paidaish,bus ya aur tafseel bataao  ahmdi aurtain beach pe bikini b pehnti hain  jalse aur ijlaas pe burqa b boht hai 🤫,tumri ma buhat hanzir hy jis ne tum jaise  yahodi kafir rhandi hanzir aurat ko paida kiya,ooohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,religious_hate_batch_003.csv,1,False,False,True,False,True,False,False,Too short,False
