production_candidate_id,batch_number,sample_index,class_id,target_label,generation_seed,demonstration_seed,prompt_version,prompting_strategy,demonstration_source,demonstration_pool_size,demo_1,demo_2,demo_3,demo_4,generated_text,source_batch_file,word_count,is_empty,has_urdu_script,has_latin_content,is_non_linguistic,is_too_short,is_too_long,is_exact_duplicate,stage0_rejection_reason,stage0_pass,xlmr_predicted_class_id,xlmr_predicted_class,stage1_pass,stage1_rejection_reason,stage2_max_similarity,stage2_mean_top10_similarity,stage2_nearest_real_text,stage2_nearest_real_similarity,stage2_pass,stage2_rejection_reason,stage3_pass,stage3_rejection_reason,stage3_duplicate_of,stage3_duplicate_similarity,stage3_duplicate_source
class4_batch004_sample030604,4,30604,4,Profane,431604,435604,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,i hate ors bhenchod,my entire neighborhood is making weird sounds bhenchod shaddi hai kya,rona araha hai bhenchod why am i such a clown why am i so unimportant,bc bb khatm ho gya but i cant move on,yeh tu mjhy jitna nahi pata bhenchod,profane_batch_004.csv,7,False,False,True,False,False,False,False,,True,4,Profane,True,,0.9515659809112548,0.9355974197387696,yaar mujhe koi goli maarde bhenchod,0.9515659809112548,True,,True,,,,
class4_batch004_sample030605,4,30605,4,Profane,431605,435605,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod syllabus kuch aur..aur padhke kuch aur gaya.,"tm jao ma ni ja rha, pehly he adhi zindagi saffr mein guzr gai bc meri.",mere pas tum ho ny to puray saal ka rula dia bhenchod,bhenchod what a goal!,tm logo ko dikhta hai ab bhenchod apni tarah ke logon ki choti si nangi jagah se akela rakhty hain,profane_batch_004.csv,20,False,False,True,False,False,False,False,,True,4,Profane,True,,0.9343640208244324,0.9199031591415404,bhenchod tum logo ke pas kam dhanda nai he har wqt aashiqi mashooqi ka rona lagaya hwa hota he.,0.9343640208244324,True,,True,,,,
class4_batch004_sample030606,4,30606,4,Profane,431606,435606,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,slept for only 4 hours last night bc match daikhty daikhty girny wala hua wa hun,i hate ors bhenchod,bhenchod syllabus kuch aur..aur padhke kuch aur gaya.,ajeeeeb bc 😒😂,bhenchod chal kya raha hai,profane_batch_004.csv,5,False,False,True,False,False,False,False,,True,4,Profane,True,,0.9658769369125366,0.948914349079132,bhenchod ye kya hai,0.9658769369125366,True,,True,,,,
class4_batch004_sample030610,4,30610,4,Profane,431610,435610,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,my entire neighborhood is making weird sounds bhenchod shaddi hai kya,slept for only 4 hours last night bc match daikhty daikhty girny wala hua wa hun,bauhat sardi hai bc,rt : birthday wali feel hi nai arahi bhenchod,bc sab ny galiyan dekha ha,profane_batch_004.csv,6,False,False,True,False,False,False,False,,True,4,Profane,True,,0.9242725372314452,0.917788863182068,zinda ha bc abhi tk tu b,0.9242725372314452,True,,True,,,,
class4_batch004_sample030615,4,30615,4,Profane,431615,435615,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bc bb khatm ho gya but i cant move on,bhenchod kya hai ye sb,bhenchod syllabus kuch aur..aur padhke kuch aur gaya.,"rt : koi physics samjha de bhenchod,,,,",rt : 😒🤪 bhenchod khush rahna mera jism meri marzi karne ki baatein karte hain,profane_batch_004.csv,15,False,False,True,False,False,False,False,,True,4,Profane,True,,0.9318175315856934,0.9206388592720032,rt : ye ab nend nai ari mjy bhenchod subha uth kr prhna b ha kiya yr ajeeb jhand life,0.9318175315856934,True,,True,,,,
class4_batch004_sample030616,4,30616,4,Profane,431616,435616,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,pubg lover hath toota howa hai phir b pubg nhai chorni bc😂😂😂,inn coaching vaalou ko kaise pta chal jaata hai mera result bhenchod.,naak bandd ho gya bc.,bhenchod what a goal!,bhenchod kabhi apna name hi bulao,profane_batch_004.csv,6,False,False,True,False,False,False,False,,True,4,Profane,True,,0.931731343269348,0.9254886507987976,bhenchod kahan phass gaya hoon,0.931731343269348,True,,True,,,,
class4_batch004_sample030619,4,30619,4,Profane,431619,435619,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod kahan phass gaya hoon,bhenchod bht kutti haaalat huwe we he bhai,code bhee saaf karna hai abheeee bc,why can’t i multitask???? i’m 22 fucking years old and i still dont know how to multitask bhenchod,bhenchod bhi ni pata kiun kya ho raha hai,profane_batch_004.csv,9,False,False,True,False,False,False,False,,True,4,Profane,True,,0.9428281188011168,0.9365386962890624,bhenchod ye kya hai,0.9428281188011168,True,,True,,,,
class4_batch004_sample030621,4,30621,4,Profane,431621,435621,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,ajeeeeb bc 😒😂,main 5'8 ke sath bh chota lgta hn bc😶😑😑😑,bhenchod parhna hai. par dimaagh ijazat nahi deta. ajeeb chutiyapa hai ye.,"tm jao ma ni ja rha, pehly he adhi zindagi saffr mein guzr gai bc meri.",kuch nae kahin bc,profane_batch_004.csv,4,False,False,True,False,False,False,False,,True,4,Profane,True,,0.9038302302360536,0.8908905982971191,kya ho rha h bc ye,0.9038302302360536,True,,True,,,,
class4_batch004_sample030622,4,30622,4,Profane,431622,435622,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,my entire neighborhood is making weird sounds bhenchod shaddi hai kya,bhenchod kya hai ye sb,bhenchod kahan phass gaya hoon,mere pas tum ho ny to puray saal ka rula dia bhenchod,bhenchod itna zyada na hona chahye,profane_batch_004.csv,6,False,False,True,False,False,False,False,,True,4,Profane,True,,0.961004376411438,0.9492623209953308,bhenchod bht kutti haaalat huwe we he bhai,0.961004376411438,True,,True,,,,
class4_batch004_sample030623,4,30623,4,Profane,431623,435623,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod aaj sirf roneka mann kar raha hai,code bhee saaf karna hai abheeee bc,"tm jao ma ni ja rha, pehly he adhi zindagi saffr mein guzr gai bc meri.",fuck man. the pain is traveling. bhenchod ye naya e corridor khul gya hai.,bhenchod tu paida kia tha,profane_batch_004.csv,5,False,False,True,False,False,False,False,,True,4,Profane,True,,0.9434300661087036,0.9355852007865906,bhenchod ho tum😁😁,0.9434300661087036,True,,True,,,,
class4_batch004_sample030624,4,30624,4,Profane,431624,435624,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod kahan phass gaya hoon,rt : fariha without fa is riha and  riha kerdo koi bhenchod is zindagi se,rt : bhenchod graph paper pe eraser use karo toh graph paper hi gayab ho jaata hai,mere pas tum ho ny to puray saal ka rula dia bhenchod,ye sabse bara mc is kehny ki bat hai bhenchod,profane_batch_004.csv,10,False,False,True,False,False,False,False,,True,4,Profane,True,,0.9211061596870422,0.912667453289032,sahi bilkul bhenchod yahi sb chal raha hai,0.9211061596870422,True,,True,,,,
class4_batch004_sample030626,4,30626,4,Profane,431626,435626,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,inn coaching vaalou ko kaise pta chal jaata hai mera result bhenchod.,bhenchod bht kutti haaalat huwe we he bhai,ajeeeeb bc 😒😂,bhenchod what a goal!,🤦‍♂️😭😭 bhenchod tere jaisay kuch bhi nahi tha,profane_batch_004.csv,8,False,False,True,False,False,False,False,,True,4,Profane,True,,0.9484759569168092,0.9353941082954408,kuch bhenchod phr bhi baz nhi aaty😐,0.9484759569168092,True,,True,,,,
class4_batch004_sample030628,4,30628,4,Profane,431628,435628,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,neend aa rhi h bc main sone jaa rhi hu 😂,bhenchod bht kutti haaalat huwe we he bhai,bc 40 rupees karaya kar diya hai is se acha to banda uber ya cream karwa laye 😏😏😏,code bhee saaf karna hai abheeee bc,ye nhi pata bc,profane_batch_004.csv,4,False,False,True,False,False,False,False,,True,4,Profane,True,,0.9522550106048584,0.9244564771652222,kya ho rha h bc ye,0.9522550106048584,True,,True,,,,
class4_batch004_sample030629,4,30629,4,Profane,431629,435629,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod syllabus kuch aur..aur padhke kuch aur gaya.,rt : bhenchod graph paper pe eraser use karo toh graph paper hi gayab ho jaata hai,my entire neighborhood is making weird sounds bhenchod shaddi hai kya,"tm jao ma ni ja rha, pehly he adhi zindagi saffr mein guzr gai bc meri.",ye paisa bahut hota hai bhenchod,profane_batch_004.csv,6,False,False,True,False,False,False,False,,True,4,Profane,True,,0.9582939743995668,0.9454926252365112,bhenchod kitna bara wallet hai yeh,0.9582939743995668,True,,True,,,,
