production_candidate_id,batch_number,sample_index,class_id,target_label,generation_seed,demonstration_seed,prompt_version,prompting_strategy,demonstration_source,demonstration_pool_size,demo_1,demo_2,demo_3,demo_4,generated_text
class4_batch001_sample030000,1,30000,4,Profane,431000,435000,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod bht kutti haaalat huwe we he bhai,2 years ago i asked my father for my own car. so he said “hbl car loan se lelo” bc itni khajal khawari keh tang akar i bought used honda civic. and mine is way better than new honda city. or sashky apny,bhenchod exams uff,i should've a bhenchod counter which will count the amount of times i've sad bhenchod,bhenchod i wanna cry but can’t 😔
class4_batch001_sample030001,1,30001,4,Profane,431001,435001,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bc 40 rupees karaya kar diya hai is se acha to banda uber ya cream karwa laye 😏😏😏,bauhat sardi hai bc,mera bhi yaar bhai...jindgi jhand ho gya hai bhenchodv 3 t20 me 300 rupya haar gye....,rt : bhenchod graph paper pe eraser use karo toh graph paper hi gayab ho jaata hai,nhi pata na bhenchod
class4_batch001_sample030002,1,30002,4,Profane,431002,435002,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,rt : kisi ko bhulnay k liye ussay yaad karna parta hai. aur idhr bhenchod yaad hi ati rehti hai bus,rt : bhenchod graph paper pe eraser use karo toh graph paper hi gayab ho jaata hai,"tm jao ma ni ja rha, pehly he adhi zindagi saffr mein guzr gai bc meri.",bc bb khatm ho gya but i cant move on,ye 😑
class4_batch001_sample030003,1,30003,4,Profane,431003,435003,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,rt : birthday wali feel hi nai arahi bhenchod,slept for only 4 hours last night bc match daikhty daikhty girny wala hua wa hun,bhenchod aaj sirf roneka mann kar raha hai,dil sumbhal ja zra bhenchod,mc i'm so tired but i can't sleep
class4_batch001_sample030004,1,30004,4,Profane,431004,435004,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,why can’t i multitask???? i’m 22 fucking years old and i still dont know how to multitask bhenchod,bc bb khatm ho gya but i cant move on,i hate ors bhenchod,bhenchod what a goal!,bhenchod shayad yeh hai na jisne mera sara life chora
class4_batch001_sample030005,1,30005,4,Profane,431005,435005,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,fuck man. the pain is traveling. bhenchod ye naya e corridor khul gya hai.,bhenchod aaj sirf roneka mann kar raha hai,ajeeeeb bc 😒😂,bhenchod exams uff,mera papa hai kuttey ka beta koi dum nahi
class4_batch001_sample030006,1,30006,4,Profane,431006,435006,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod parhna hai. par dimaagh ijazat nahi deta. ajeeb chutiyapa hai ye.,rt : birthday wali feel hi nai arahi bhenchod,code bhee saaf karna hai abheeee bc,bhenchod kahan phass gaya hoon,rt : shuru karne ka sath dala jata hai aur pehle hi matlb chod ke rakh lete hain bc
class4_batch001_sample030007,1,30007,4,Profane,431007,435007,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,rt : fariha without fa is riha and  riha kerdo koi bhenchod is zindagi se,i should've a bhenchod counter which will count the amount of times i've sad bhenchod,"tm jao ma ni ja rha, pehly he adhi zindagi saffr mein guzr gai bc meri.",code bhee saaf karna hai abheeee bc,ye duniya ka bacha hi toh nahi ha
class4_batch001_sample030008,1,30008,4,Profane,431008,435008,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,pubg lover hath toota howa hai phir b pubg nhai chorni bc😂😂😂,code bhee saaf karna hai abheeee bc,fuck man. the pain is traveling. bhenchod ye naya e corridor khul gya hai.,bauhat sardi hai bc,i am so fucking angry right now i wanna kill someone
class4_batch001_sample030009,1,30009,4,Profane,431009,435009,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,rt : fariha without fa is riha and  riha kerdo koi bhenchod is zindagi se,bhenchod parhna hai. par dimaagh ijazat nahi deta. ajeeb chutiyapa hai ye.,kyaaaa musibbaattt ha yr sara mood khraab kr diya ha bc,rt : bhenchod graph paper pe eraser use karo toh graph paper hi gayab ho jaata hai,rt : bhenchod jinko kuch nhi mil raha wo dm karne lgta hai
class4_batch001_sample030010,1,30010,4,Profane,431010,435010,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bc 40 rupees karaya kar diya hai is se acha to banda uber ya cream karwa laye 😏😏😏,pubg lover hath toota howa hai phir b pubg nhai chorni bc😂😂😂,"tm jao ma ni ja rha, pehly he adhi zindagi saffr mein guzr gai bc meri.",rt : bhenchod graph paper pe eraser use karo toh graph paper hi gayab ho jaata hai,aby bhenchod jaa k bharwe ko dekho
class4_batch001_sample030011,1,30011,4,Profane,431011,435011,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,i hate ors bhenchod,bhenchod exams uff,slept for only 4 hours last night bc match daikhty daikhty girny wala hua wa hun,rt : fariha without fa is riha and  riha kerdo koi bhenchod is zindagi se,sary mard ko chup kr do bc
class4_batch001_sample030012,1,30012,4,Profane,431012,435012,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bauhat sardi hai bc,"rt : koi physics samjha de bhenchod,,,,",pubg lover hath toota howa hai phir b pubg nhai chorni bc😂😂😂,bhenchod aaj sirf roneka mann kar raha hai,rt : tum logon ko aisa nahi pata
class4_batch001_sample030013,1,30013,4,Profane,431013,435013,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,why can’t i multitask???? i’m 22 fucking years old and i still dont know how to multitask bhenchod,ajeeeeb bc 😒😂,bhenchod aaj sirf roneka mann kar raha hai,2 years ago i asked my father for my own car. so he said “hbl car loan se lelo” bc itni khajal khawari keh tang akar i bought used honda civic. and mine is way better than new honda city. or sashky apny,kutte jaisi larki
class4_batch001_sample030014,1,30014,4,Profane,431014,435014,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,rt : birthday wali feel hi nai arahi bhenchod,main 5'8 ke sath bh chota lgta hn bc😶😑😑😑,i hate ors bhenchod,mera bhi yaar bhai...jindgi jhand ho gya hai bhenchodv 3 t20 me 300 rupya haar gye....,abe bc kia haal hai saare duniya ko
class4_batch001_sample030015,1,30015,4,Profane,431015,435015,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,"tm jao ma ni ja rha, pehly he adhi zindagi saffr mein guzr gai bc meri.",bc 40 rupees karaya kar diya hai is se acha to banda uber ya cream karwa laye 😏😏😏,bhenchod kahan phass gaya hoon,bhenchod mairi thand se phatt rahi hai,kisi randi ke bachy ka jism kisi aurat ka haq nahi
class4_batch001_sample030016,1,30016,4,Profane,431016,435016,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,i should've a bhenchod counter which will count the amount of times i've sad bhenchod,bhenchod bht kutti haaalat huwe we he bhai,dil sumbhal ja zra bhenchod,bhenchod exams uff,jis ny tumhara koi problem dekha tha wo sabse bada kaam karne wala tha aur apna bhi gaya ab
class4_batch001_sample030017,1,30017,4,Profane,431017,435017,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,mere pas tum ho ny to puray saal ka rula dia bhenchod,"rt : yaar magar wifi bandh na karna, missile vissile daal do koi dikkat nahi, magar internet chahiye bc",bhenchod exams uff,bc 40 rupees karaya kar diya hai is se acha to banda uber ya cream karwa laye 😏😏😏,kutte ki nasl gandu tera baap h
