text,label
i should've a bhenchod counter which will count the amount of times i've sad bhenchod,4
i hate ors bhenchod,4
bc 40 rupees karaya kar diya hai is se acha to banda uber ya cream karwa laye 😏😏😏,4
bhenchod parhna hai. par dimaagh ijazat nahi deta. ajeeb chutiyapa hai ye.,4
kyaaaa musibbaattt ha yr sara mood khraab kr diya ha bc,4
code bhee saaf karna hai abheeee bc,4
"rt : yaar magar wifi bandh na karna, missile vissile daal do koi dikkat nahi, magar internet chahiye bc",4
slept for only 4 hours last night bc match daikhty daikhty girny wala hua wa hun,4
bhenchod aaj sirf roneka mann kar raha hai,4
bc bb khatm ho gya but i cant move on,4
bhenchod exams uff,4
my entire neighborhood is making weird sounds bhenchod shaddi hai kya,4
"tm jao ma ni ja rha, pehly he adhi zindagi saffr mein guzr gai bc meri.",4
rona araha hai bhenchod why am i such a clown why am i so unimportant,4
fuck man. the pain is traveling. bhenchod ye naya e corridor khul gya hai.,4
ajeeeeb bc 😒😂,4
2 years ago i asked my father for my own car. so he said “hbl car loan se lelo” bc itni khajal khawari keh tang akar i bought used honda civic. and mine is way better than new honda city. or sashky apny,4
rt : fariha without fa is riha and  riha kerdo koi bhenchod is zindagi se,4
mera bhi yaar bhai...jindgi jhand ho gya hai bhenchodv 3 t20 me 300 rupya haar gye....,4
bhenchod bht kutti haaalat huwe we he bhai,4
pubg lover hath toota howa hai phir b pubg nhai chorni bc😂😂😂,4
inn coaching vaalou ko kaise pta chal jaata hai mera result bhenchod.,4
rt : birthday wali feel hi nai arahi bhenchod,4
why can’t i multitask???? i’m 22 fucking years old and i still dont know how to multitask bhenchod,4
bhenchod kahan phass gaya hoon,4
rt : kisi ko bhulnay k liye ussay yaad karna parta hai. aur idhr bhenchod yaad hi ati rehti hai bus,4
neend aa rhi h bc main sone jaa rhi hu 😂,4
bauhat sardi hai bc,4
main 5'8 ke sath bh chota lgta hn bc😶😑😑😑,4
dil sumbhal ja zra bhenchod,4
rt : asa kon ludo khelta hi bc ....😇,4
rt : bhenchod graph paper pe eraser use karo toh graph paper hi gayab ho jaata hai,4
naak bandd ho gya bc.,4
nazar lag gayi bhenchod fuck this i knew it would never last,4
bhenchod kya hai ye sb,4
"rt : koi physics samjha de bhenchod,,,,",4
mere pas tum ho ny to puray saal ka rula dia bhenchod,4
bhenchod what a goal!,4
bhenchod mairi thand se phatt rahi hai,4
bhenchod syllabus kuch aur..aur padhke kuch aur gaya.,4
