production_candidate_id,batch_number,sample_index,class_id,target_label,generation_seed,demonstration_seed,prompt_version,prompting_strategy,demonstration_source,demonstration_pool_size,demo_1,demo_2,demo_3,demo_4,generated_text,source_batch_file,word_count,is_empty,has_urdu_script,has_latin_content,is_non_linguistic,is_too_short,is_too_long,is_exact_duplicate,stage0_rejection_reason,stage0_pass,xlmr_predicted_class_id,xlmr_predicted_class,stage1_pass,stage1_rejection_reason,stage2_max_similarity,stage2_mean_top10_similarity,stage2_nearest_real_text,stage2_nearest_real_similarity,stage2_pass,stage2_rejection_reason,stage3_pass,stage3_rejection_reason,stage3_duplicate_of,stage3_duplicate_similarity
class4_batch001_sample030000,1,30000,4,Profane,431000,435000,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod bht kutti haaalat huwe we he bhai,2 years ago i asked my father for my own car. so he said “hbl car loan se lelo” bc itni khajal khawari keh tang akar i bought used honda civic. and mine is way better than new honda city. or sashky apny,bhenchod exams uff,i should've a bhenchod counter which will count the amount of times i've sad bhenchod,bhenchod i wanna cry but can’t 😔,profane_batch_001.csv,7,False,False,True,False,False,False,False,,True,4,Profane,True,,0.9186950922012329,0.9030506014823914,bhenchod u cant even cry onto ur pillow cause it’s so wet and cold,0.9186950922012329,True,,True,,,
class4_batch001_sample030001,1,30001,4,Profane,431001,435001,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bc 40 rupees karaya kar diya hai is se acha to banda uber ya cream karwa laye 😏😏😏,bauhat sardi hai bc,mera bhi yaar bhai...jindgi jhand ho gya hai bhenchodv 3 t20 me 300 rupya haar gye....,rt : bhenchod graph paper pe eraser use karo toh graph paper hi gayab ho jaata hai,nhi pata na bhenchod,profane_batch_001.csv,4,False,False,True,False,False,False,False,,True,4,Profane,True,,0.9389470219612122,0.9335449934005737,dhood se b mehnga bhenchod,0.9389470219612122,True,,True,,,
class4_batch001_sample030004,1,30004,4,Profane,431004,435004,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,why can’t i multitask???? i’m 22 fucking years old and i still dont know how to multitask bhenchod,bc bb khatm ho gya but i cant move on,i hate ors bhenchod,bhenchod what a goal!,bhenchod shayad yeh hai na jisne mera sara life chora,profane_batch_001.csv,10,False,False,True,False,False,False,False,,True,4,Profane,True,,0.9305457472801208,0.9202919006347656,ajeeb bhenchod zindagi hogai hai hina,0.9305457472801208,True,,True,,,
class4_batch001_sample030006,1,30006,4,Profane,431006,435006,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod parhna hai. par dimaagh ijazat nahi deta. ajeeb chutiyapa hai ye.,rt : birthday wali feel hi nai arahi bhenchod,code bhee saaf karna hai abheeee bc,bhenchod kahan phass gaya hoon,rt : shuru karne ka sath dala jata hai aur pehle hi matlb chod ke rakh lete hain bc,profane_batch_001.csv,19,False,False,True,False,False,False,False,,True,4,Profane,True,,0.9105672836303711,0.901157021522522,rt : randi rona karne ki itni adat hogaye hai k ab koi waja nh hai phr b rona a rha hai,0.9105672836303711,True,,True,,,
class4_batch001_sample030009,1,30009,4,Profane,431009,435009,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,rt : fariha without fa is riha and  riha kerdo koi bhenchod is zindagi se,bhenchod parhna hai. par dimaagh ijazat nahi deta. ajeeb chutiyapa hai ye.,kyaaaa musibbaattt ha yr sara mood khraab kr diya ha bc,rt : bhenchod graph paper pe eraser use karo toh graph paper hi gayab ho jaata hai,rt : bhenchod jinko kuch nhi mil raha wo dm karne lgta hai,profane_batch_001.csv,13,False,False,True,False,False,False,False,,True,4,Profane,True,,0.9281423091888428,0.9173100590705872,"rt : hum ek baar jeete hai,  or ek baar marte hai   toh bhenchod yh nhana baar baar kyo pdhta hai😑",0.9281423091888428,True,,True,,,
class4_batch001_sample030026,1,30026,4,Profane,431026,435026,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bauhat sardi hai bc,mere pas tum ho ny to puray saal ka rula dia bhenchod,main 5'8 ke sath bh chota lgta hn bc😶😑😑😑,rt : birthday wali feel hi nai arahi bhenchod,aisi baat kya thi jo tere jaisa lagti thi bhenchod,profane_batch_001.csv,10,False,False,True,False,False,False,False,,True,4,Profane,True,,0.9484132528305054,0.9377267956733704,bhenchod bht kutti haaalat huwe we he bhai,0.9484132528305054,True,,True,,,
class4_batch001_sample030030,1,30030,4,Profane,431030,435030,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod parhna hai. par dimaagh ijazat nahi deta. ajeeb chutiyapa hai ye.,rt : birthday wali feel hi nai arahi bhenchod,my entire neighborhood is making weird sounds bhenchod shaddi hai kya,fuck man. the pain is traveling. bhenchod ye naya e corridor khul gya hai.,abe bhenchod tu mazaq kar rha tha yaar,profane_batch_001.csv,8,False,False,True,False,False,False,False,,True,4,Profane,True,,0.9499495029449463,0.9346078634262085,yaar mujhe koi goli maarde bhenchod,0.9499495029449463,True,,True,,,
class4_batch001_sample030031,1,30031,4,Profane,431031,435031,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,kyaaaa musibbaattt ha yr sara mood khraab kr diya ha bc,main 5'8 ke sath bh chota lgta hn bc😶😑😑😑,bhenchod exams uff,code bhee saaf karna hai abheeee bc,nahi nhi hain bc,profane_batch_001.csv,4,False,False,True,False,False,False,False,,True,4,Profane,True,,0.9520360231399536,0.9234199523925781,kya ho rha h bc ye,0.9520360231399536,True,,True,,,
class4_batch001_sample030032,1,30032,4,Profane,431032,435032,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,"tm jao ma ni ja rha, pehly he adhi zindagi saffr mein guzr gai bc meri.",ajeeeeb bc 😒😂,bhenchod parhna hai. par dimaagh ijazat nahi deta. ajeeb chutiyapa hai ye.,bauhat sardi hai bc,aby ye kya hota hai bc?,profane_batch_001.csv,6,False,False,True,False,False,False,False,,True,4,Profane,True,,0.9117411375045776,0.8944166898727417,bc show ka kya hoga??,0.9117411375045776,True,,True,,,
class4_batch001_sample030036,1,30036,4,Profane,431036,435036,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,my entire neighborhood is making weird sounds bhenchod shaddi hai kya,bhenchod parhna hai. par dimaagh ijazat nahi deta. ajeeb chutiyapa hai ye.,bhenchod aaj sirf roneka mann kar raha hai,"tm jao ma ni ja rha, pehly he adhi zindagi saffr mein guzr gai bc meri.",yeh kya baat hai bc,profane_batch_001.csv,5,False,False,True,False,False,False,False,,True,4,Profane,True,,0.9301987886428833,0.9082322120666504,kya ho rha h bc ye,0.9301987886428833,True,,True,,,
