production_candidate_id,batch_number,sample_index,class_id,target_label,generation_seed,demonstration_seed,prompt_version,prompting_strategy,demonstration_source,demonstration_pool_size,demo_1,demo_2,demo_3,demo_4,generated_text,source_batch_file,word_count,is_empty,has_urdu_script,has_latin_content,is_non_linguistic,is_too_short,is_too_long,is_exact_duplicate,stage0_rejection_reason,stage0_pass
class4_batch001_sample030000,1,30000,4,Profane,431000,435000,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod bht kutti haaalat huwe we he bhai,2 years ago i asked my father for my own car. so he said “hbl car loan se lelo” bc itni khajal khawari keh tang akar i bought used honda civic. and mine is way better than new honda city. or sashky apny,bhenchod exams uff,i should've a bhenchod counter which will count the amount of times i've sad bhenchod,bhenchod i wanna cry but can’t 😔,profane_batch_001.csv,7,False,False,True,False,False,False,False,,True
class4_batch001_sample030001,1,30001,4,Profane,431001,435001,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bc 40 rupees karaya kar diya hai is se acha to banda uber ya cream karwa laye 😏😏😏,bauhat sardi hai bc,mera bhi yaar bhai...jindgi jhand ho gya hai bhenchodv 3 t20 me 300 rupya haar gye....,rt : bhenchod graph paper pe eraser use karo toh graph paper hi gayab ho jaata hai,nhi pata na bhenchod,profane_batch_001.csv,4,False,False,True,False,False,False,False,,True
class4_batch001_sample030002,1,30002,4,Profane,431002,435002,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,rt : kisi ko bhulnay k liye ussay yaad karna parta hai. aur idhr bhenchod yaad hi ati rehti hai bus,rt : bhenchod graph paper pe eraser use karo toh graph paper hi gayab ho jaata hai,"tm jao ma ni ja rha, pehly he adhi zindagi saffr mein guzr gai bc meri.",bc bb khatm ho gya but i cant move on,ye 😑,profane_batch_001.csv,2,False,False,True,False,False,False,False,,True
class4_batch001_sample030003,1,30003,4,Profane,431003,435003,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,rt : birthday wali feel hi nai arahi bhenchod,slept for only 4 hours last night bc match daikhty daikhty girny wala hua wa hun,bhenchod aaj sirf roneka mann kar raha hai,dil sumbhal ja zra bhenchod,mc i'm so tired but i can't sleep,profane_batch_001.csv,8,False,False,True,False,False,False,False,,True
class4_batch001_sample030004,1,30004,4,Profane,431004,435004,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,why can’t i multitask???? i’m 22 fucking years old and i still dont know how to multitask bhenchod,bc bb khatm ho gya but i cant move on,i hate ors bhenchod,bhenchod what a goal!,bhenchod shayad yeh hai na jisne mera sara life chora,profane_batch_001.csv,10,False,False,True,False,False,False,False,,True
class4_batch001_sample030005,1,30005,4,Profane,431005,435005,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,fuck man. the pain is traveling. bhenchod ye naya e corridor khul gya hai.,bhenchod aaj sirf roneka mann kar raha hai,ajeeeeb bc 😒😂,bhenchod exams uff,mera papa hai kuttey ka beta koi dum nahi,profane_batch_001.csv,9,False,False,True,False,False,False,False,,True
class4_batch001_sample030006,1,30006,4,Profane,431006,435006,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod parhna hai. par dimaagh ijazat nahi deta. ajeeb chutiyapa hai ye.,rt : birthday wali feel hi nai arahi bhenchod,code bhee saaf karna hai abheeee bc,bhenchod kahan phass gaya hoon,rt : shuru karne ka sath dala jata hai aur pehle hi matlb chod ke rakh lete hain bc,profane_batch_001.csv,19,False,False,True,False,False,False,False,,True
class4_batch001_sample030007,1,30007,4,Profane,431007,435007,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,rt : fariha without fa is riha and  riha kerdo koi bhenchod is zindagi se,i should've a bhenchod counter which will count the amount of times i've sad bhenchod,"tm jao ma ni ja rha, pehly he adhi zindagi saffr mein guzr gai bc meri.",code bhee saaf karna hai abheeee bc,ye duniya ka bacha hi toh nahi ha,profane_batch_001.csv,8,False,False,True,False,False,False,False,,True
class4_batch001_sample030008,1,30008,4,Profane,431008,435008,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,pubg lover hath toota howa hai phir b pubg nhai chorni bc😂😂😂,code bhee saaf karna hai abheeee bc,fuck man. the pain is traveling. bhenchod ye naya e corridor khul gya hai.,bauhat sardi hai bc,i am so fucking angry right now i wanna kill someone,profane_batch_001.csv,11,False,False,True,False,False,False,False,,True
class4_batch001_sample030009,1,30009,4,Profane,431009,435009,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,rt : fariha without fa is riha and  riha kerdo koi bhenchod is zindagi se,bhenchod parhna hai. par dimaagh ijazat nahi deta. ajeeb chutiyapa hai ye.,kyaaaa musibbaattt ha yr sara mood khraab kr diya ha bc,rt : bhenchod graph paper pe eraser use karo toh graph paper hi gayab ho jaata hai,rt : bhenchod jinko kuch nhi mil raha wo dm karne lgta hai,profane_batch_001.csv,13,False,False,True,False,False,False,False,,True
