production_candidate_id,batch_number,sample_index,class_id,target_label,generation_seed,demonstration_seed,prompt_version,prompting_strategy,demonstration_source,demonstration_pool_size,demo_1,demo_2,demo_3,demo_4,generated_text,source_batch_file,word_count,is_empty,has_urdu_script,has_latin_content,is_non_linguistic,is_too_short,is_too_long,is_exact_duplicate,stage0_rejection_reason,stage0_pass,xlmr_predicted_class_id,xlmr_predicted_class,stage1_pass,stage1_rejection_reason,stage2_max_similarity,stage2_mean_top10_similarity,stage2_nearest_real_text,stage2_nearest_real_similarity,stage2_pass,stage2_rejection_reason,stage3_pass,stage3_rejection_reason,stage3_duplicate_of,stage3_duplicate_similarity,stage3_duplicate_source
class4_batch004_sample030654,4,30654,4,Profane,431654,435654,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,rt : kisi ko bhulnay k liye ussay yaad karna parta hai. aur idhr bhenchod yaad hi ati rehti hai bus,kyaaaa musibbaattt ha yr sara mood khraab kr diya ha bc,why can’t i multitask???? i’m 22 fucking years old and i still dont know how to multitask bhenchod,bhenchod kahan phass gaya hoon,mera jism meri marzi bhenchod,profane_batch_004.csv,5,False,False,True,False,False,False,False,,True,4,Profane,True,,0.9475703239440918,0.937081217765808,yaar mujhe koi goli maarde bhenchod,0.9475703239440918,True,,False,Synthetic near-duplicate,class4_batch003_sample030525,0.9839723706245422,Round 1 accepted synthetic bank
class4_batch005_sample030852,5,30852,4,Profane,431852,435852,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,nazar lag gayi bhenchod fuck this i knew it would never last,rt : asa kon ludo khelta hi bc ....😇,bhenchod what a goal!,dil sumbhal ja zra bhenchod,chup krdo bhenchod,profane_batch_005.csv,3,False,False,True,False,False,False,False,,True,4,Profane,True,,0.9385396242141724,0.9301671981811525,dhood se b mehnga bhenchod,0.9385396242141724,True,,False,Synthetic near-duplicate,class4_batch004_sample030793,0.987440288066864,Earlier accepted Round 2 synthetic
class4_batch005_sample030869,5,30869,4,Profane,431869,435869,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod what a goal!,rt : asa kon ludo khelta hi bc ....😇,code bhee saaf karna hai abheeee bc,rona araha hai bhenchod why am i such a clown why am i so unimportant,bhenchod nhi pata kya kia hai,profane_batch_005.csv,6,False,False,True,False,False,False,False,,True,4,Profane,True,,0.9725475311279296,0.9510094523429872,bhenchod ye kya hai,0.9725475311279296,True,,False,Synthetic near-duplicate,class4_batch002_sample030263,0.9811800122261047,Round 1 accepted synthetic bank
class4_batch005_sample030907,5,30907,4,Profane,431907,435907,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,nazar lag gayi bhenchod fuck this i knew it would never last,bhenchod what a goal!,why can’t i multitask???? i’m 22 fucking years old and i still dont know how to multitask bhenchod,i hate ors bhenchod,bhenchod pata ni ap kis ne kiya,profane_batch_005.csv,7,False,False,True,False,False,False,False,,True,4,Profane,True,,0.9426889419555664,0.9370059967041016,bhenchod bht kutti haaalat huwe we he bhai,0.9426889419555664,True,,False,Synthetic near-duplicate,class4_batch001_sample030083,0.9814046621322632,Round 1 accepted synthetic bank
class4_batch005_sample030965,5,30965,4,Profane,431965,435965,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,nazar lag gayi bhenchod fuck this i knew it would never last,"rt : yaar magar wifi bandh na karna, missile vissile daal do koi dikkat nahi, magar internet chahiye bc",bhenchod kahan phass gaya hoon,bhenchod kya hai ye sb,bhenchod hu mera jism meri marzi,profane_batch_005.csv,6,False,False,True,False,False,False,False,,True,4,Profane,True,,0.9423730373382568,0.934933304786682,yaar mujhe koi goli maarde bhenchod,0.9423730373382568,True,,False,Synthetic near-duplicate,class4_batch003_sample030525,0.9857560396194458,Round 1 accepted synthetic bank
class2_batch007_sample011253,7,11253,2,Religious Hate,212253,216253,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,118,jaa bhen k lory tum harrami ki nasal ho.. dewband maslak pe kutty ki tareh bhoonkty ho..,"how did an ahmadiya get to the top in the army of sunnis, in the first place?",#stopisraeliterror   yahoodi mulk jisey israel ka naam diya gaya najaiz hai yahoodi sabse bada dahshatgard,tumri ma buhat hanzir hy jis ne tum jaise  yahodi kafir rhandi hanzir aurat ko paida kiya,halala ki bachay,religious_hate_batch_007.csv,3,False,False,True,False,False,False,False,,True,2,Religious Hate,True,,0.9375967979431152,0.9256952404975892,bhai ye halala ki aulad hi,0.9375967979431152,True,,False,Synthetic near-duplicate,class2_batch004_sample010784,0.9864692687988281,Round 1 accepted synthetic bank
class2_batch007_sample011296,7,11296,2,Religious Hate,212296,216296,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,118,oy ahmdi kuty. tum log smjhty ho k is trah kr k hm awam ko pagl bnao gy?? beta bajwa ne tere jeso ko nanga nachana he sbr kr. kahi ni ja rha hmara army chief. tum logo ne agly 3 sal me ye duniya hi chor jani bajwa k dar se. ye army chief nahi pakistan ka muhafiz he.,sale halala molvi se tum karvao apni oorto ka or apni ma bahan ka bol heme rhe ho molvi kamre m apni bahan ko bej kar sina choda hota hoga tumhara,"not surprised comment came from ahmedi. tbh, i won't be surprised when some christians will argue that they r included in muslim category too. just bcoz they believe there is only one god.","gau mutr peeyo tum log lodu awkat bna phir aake muh lag, randwa saala",oy ahmdi kuty. tum log smjhty ho k is trah kr k hm awam ko pagl bnao gy?? beta bajwa ne tere jeso ko nanga nachana he sbr kr. kahi ni ja rha h,religious_hate_batch_007.csv,34,False,False,True,False,False,False,False,,True,2,Religious Hate,True,,0.9424595832824708,0.9227805137634276, oy ahmdi kuty. tum log smjhty ho k is trah kr k hm awam ko pagl bnao gy?? beta bajwa ne tere jeso ko nanga nachana he sbr kr. kahi ni ja rha hmara army chief. tum logo ne agly 3 sal me ye duniya hi chor jani bajwa k dar se. ye army chief nahi pakistan ka muhafiz he.,0.9424595832824708,True,,False,Synthetic near-duplicate,class2_batch002_sample010290,1.0000001192092896,Round 1 accepted synthetic bank
class2_batch008_sample011420,8,11420,2,Religious Hate,212420,216420,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,118,"path of cruelty , path of violence, path of halala , path of tripe talaq, path of marrying 6 years old aisha,path to discipline their wives by beating them,path of hurun,path of apostasy,path of punishable apostasy, path of beheading. what a pissful religion izlam is ðÿ‘",bus ya aur tafseel bataao  ahmdi aurtain beach pe bikini b pehnti hain  jalse aur ijlaas pe burqa b boht hai 🤫,oeyy randdii k bachay ganddu hindu.. kyun jhoott baq raha hai gashti maa k ganndduu bachay. peshaab p k palnay wali qoum.,"pta nhi kon si uni se graduate hote ho aap log jnha aesi wahiyat education di jati hðÿ˜‚ðÿ˜‚ðÿ˜‚ halala, gazwa-e-hind, camel urine or pta nhi kya kyaðÿ˜‚ðÿ˜‚ðÿ˜‚ðÿ¤£ðÿ¤£ðÿ¤£ðÿ¤£ðÿ‘ðÿ»",halala ki paidaish,religious_hate_batch_008.csv,3,False,False,True,False,False,False,False,,True,2,Religious Hate,True,,0.9672320485115052,0.9428852200508118,ye  halala ki paidaish h,0.9672320485115052,True,,False,Synthetic near-duplicate,class2_batch001_sample010185,1.0000001192092896,Round 1 accepted synthetic bank
class2_batch008_sample011440,8,11440,2,Religious Hate,212440,216440,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,118,haha jaat dikha di bsdk antankbadi halala ki aulaad teri ammi ka halala hua tha phir to randi ke bacheðÿ¤£ðÿ¤£ðÿ˜…,lant hy teri aagli pecchli tweet pe or tum pe or qadyanion pe or kuch ?,israel yahoodi sabse bade atankwaadi hai,kadiyani kafir thay hain aur hamesha harain gay. ye dajjali fitnay ki ek kari hain. aur inkay supporters hum main bhe jo chupay howay hain wo bhe khanzeer kafir he hain. lannat beshomar kadiyanio pr.,yahoodi agent,religious_hate_batch_008.csv,2,False,False,True,False,False,False,False,,True,2,Religious Hate,True,,0.9497389793395996,0.893924355506897,niazi yahoodi agent he,0.9497389793395996,True,,False,Synthetic near-duplicate,class2_batch005_sample010987,0.9902663230895996,Round 1 accepted synthetic bank
class2_batch009_sample011627,9,11627,2,Religious Hate,212627,216627,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,118,kaafir tujhe kuch nai malum,imran qadyani yahoodi agent hy pti ki 18 bank account hy jis may qadyani yahoodi hondo ny funding ki hy . gold smith jimaima aneel musrst . atif miaan sub qadyani yahoodi hy,phir kehty hum bhot badry #muslim hn aur #ashaq_e_rasool sawm hain lanat hai un sab #haramio py jinho ny bibi fatima zahra ko shahheed kia aur #haq khaya 🖐🏻😡🐕 aur lanat un sab py jo un #haramio ky hamdard hain,"rt : q. woh kaun si qome he,jis ne such bhi bola phr bhi jahnum mein jayegi? ans: yahoodi or nasara qome. shahid sindh",imran chore zakat khore yahodi agent hy,religious_hate_batch_009.csv,7,False,False,True,False,False,False,False,,True,2,Religious Hate,True,,0.9461625218391418,0.9154815673828124,pagal yahodi daboo imran chore zakat khore,0.9461625218391418,True,,False,Synthetic near-duplicate,class2_batch004_sample010629,0.9930018186569214,Round 1 accepted synthetic bank
