production_candidate_id,batch_number,sample_index,class_id,target_label,generation_seed,demonstration_seed,prompt_version,prompting_strategy,demonstration_source,demonstration_pool_size,demo_1,demo_2,demo_3,demo_4,generated_text,source_batch_file,word_count,is_empty,has_urdu_script,has_latin_content,is_non_linguistic,is_too_short,is_too_long,is_exact_duplicate,stage0_rejection_reason,stage0_pass
class4_batch004_sample030782,4,30782,4,Profane,431782,435782,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,code bhee saaf karna hai abheeee bc,pubg lover hath toota howa hai phir b pubg nhai chorni bc😂😂😂,slept for only 4 hours last night bc match daikhty daikhty girny wala hua wa hun,naak bandd ho gya bc.,�����������������������������������������������������������,profane_batch_004.csv,1,False,False,False,True,True,False,False,No Latin text; Too short,False
class4_batch005_sample030826,5,30826,4,Profane,431826,435826,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,rona araha hai bhenchod why am i such a clown why am i so unimportant,bhenchod kahan phass gaya hoon,rt : fariha without fa is riha and  riha kerdo koi bhenchod is zindagi se,naak bandd ho gya bc.,😂😂😂😂😂😂😂😂😂😂,profane_batch_005.csv,1,False,False,False,True,True,False,False,No Latin text; Too short,False
class4_batch005_sample030893,5,30893,4,Profane,431893,435893,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,kyaaaa musibbaattt ha yr sara mood khraab kr diya ha bc,bauhat sardi hai bc,"tm jao ma ni ja rha, pehly he adhi zindagi saffr mein guzr gai bc meri.",neend aa rhi h bc main sone jaa rhi hu 😂,wtf,profane_batch_005.csv,1,False,False,True,False,True,False,False,Too short,False
class4_batch006_sample031002,6,31002,4,Profane,432002,436002,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,rona araha hai bhenchod why am i such a clown why am i so unimportant,inn coaching vaalou ko kaise pta chal jaata hai mera result bhenchod.,bhenchod what a goal!,rt : asa kon ludo khelta hi bc ....😇,ye bhenchod,profane_batch_006.csv,2,False,False,True,False,False,False,True,Exact duplicate,False
class2_batch006_sample011095,6,11095,2,Religious Hate,212095,216095,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,118,tm jeso ki jb g**nd mari jaye na fir tm log thek rehty ho bc k bachy jb wo yahoodi lanti marty hn na wo muslim dekhty hn air kuch ni dekhty baki tm na toh apni pesh krni hoti ha unhy.,hindu sirf gooli ki zuban smjta ha,"how did an ahmadiya get to the top in the army of sunnis, in the first place?",kaafir tujhe kuch nai malum,#halala_wali_randi,religious_hate_batch_006.csv,1,False,False,True,False,True,False,False,Too short,False
class2_batch006_sample011195,6,11195,2,Religious Hate,212195,216195,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,118,please all muslims come one page and unite  insha allah   yahoodi isreal finished all,"obviously we muslims hate ahmedi's . 😡 we don't care whatever happens to them ! we just hate them. if their is oppression over other minorities in pakistan which is not usual alhamdolillah, then i condemn that.",tmri taraj animals ki potty n khate... tm jaake  bomb fodo jaake.......halala ke masala.  niklo.. yaha tm atankiyo k liy jagah ni h bhai. yaha atank n failaooo,o madadarchod: tum tu farigh ho aur yeh gashti tu waisay he sari raat jagti hay. o dallay o kanjar hum tu iran jatay hotay hain tu bata apni behan kitni baar mbs aur us kay wahabi sheikhon ko bhaijta hay.,🤣😂😋😅😅😂🤣😂🤣🤣😂🤣🤣,religious_hate_batch_006.csv,1,False,False,False,True,True,False,False,No Latin text; Too short,False
class2_batch007_sample011304,7,11304,2,Religious Hate,212304,216304,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,118,1 balatkari muslim 3 balatkari tera baap hindu h uske bare m kuch bol  be,yahodi agent qadyani chamcha,"afghanio ne tme hindu se bachaya,randi k aulaad tareekh paro tm wo ganda khoon ho,jo siko aour hindu ki rape se paida woe ho,tme kalima tho sikaya afghano ne,magar tmari gandi dna wai ranjeet sing wali a,randi k aulaad tm ne kah pana di,am pashtono ne di,apnay bio ko hera mandi",oy ahmdi kuty. tum log smjhty ho k is trah kr k hm awam ko pagl bnao gy?? beta bajwa ne tere jeso ko nanga nachana he sbr kr. kahi ni ja rha hmara army chief. tum logo ne agly 3 sal me ye duniya hi chor jani bajwa k dar se. ye army chief nahi pakistan ka muhafiz he.,oy ahmdi kuty. tum log smjhty ho k is trah kr k hm awam ko pagl bnao gy?? beta bajwa ne tere jeso ko nanga nachana he sbr kr. kahi ni ja rha h,religious_hate_batch_007.csv,34,False,False,True,False,False,False,True,Exact duplicate,False
class2_batch007_sample011347,7,11347,2,Religious Hate,212347,216347,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,118,sirf momin aya to yahoodi kum nasal marny laggaye agr sawa crore momin agaye to sochen kya hoga?hamen jagna hoga,chutiya azam ny kia kia ha ab tk sawa saal mein sirf 11600 arab ka izfa qarzoun mein kia or kuch nhi badlo apni soch ko yahodi na bano or ek muslim ki tarh socho,ye lode teri maa or bahan ke shohar hai or jyada bolega to de denge teri maa or bahan ko hum denge talaq or fir halala wow kya baat hai mullo wow lund chuss lo ðÿ˜œðÿ˜œðÿ˜œðÿ˜œ,dekh le madarch*d islam ka nanga naach..babri par fate hue bawaseer ki tarah bhaunk raha tha na..us par bhi ab apne manhoos muh se kuch hag de..blood cousins ke incest ki paidaish,🌚😑🖐️🤨🧠🥀😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,religious_hate_batch_007.csv,1,False,False,False,True,True,False,False,No Latin text; Too short,False
class2_batch008_sample011510,8,11510,2,Religious Hate,212510,216510,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,118,that nigga was yahoodi he probably lied to all the employees,yes they are involved in bomb blast... halala and bakrigiri,"tum vahi karo jo aata hai ,namaz or bakri chudai",wise halala ki paidaish tumse yhi ummid ki ja sakti hai madarsa chhhap suarðÿ˜‚ðÿ¤£ðÿ¤£ðÿ¤£ðÿ¤£,halala ki paidaish,religious_hate_batch_008.csv,3,False,False,True,False,False,False,True,Exact duplicate,False
class2_batch008_sample011598,8,11598,2,Religious Hate,212598,216598,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,118,1 balatkari muslim 3 balatkari tera baap hindu h uske bare m kuch bol  be,or mujhe un ladkiyo se utni hi nafrat hai jo mullo se shadi karti hai jitni kisi normal hindu ko😡 or mujhe hindu ladko se bhi itni hi nafrat hai jo muslim ladkiyo se shadi karte hai... dharam me koi milawat mujhe pasand nahi,"afghanio ne tme hindu se bachaya,randi k aulaad tareekh paro tm wo ganda khoon ho,jo siko aour hindu ki rape se paida woe ho,tme kalima tho sikaya afghano ne,magar tmari gandi dna wai ranjeet sing wali a,randi k aulaad tm ne kah pana di,am pashtono ne di,apnay bio ko hera mandi",phir kehty hum bhot badry #muslim hn aur #ashaq_e_rasool sawm hain lanat hai un sab #haramio py jinho ny bibi fatima zahra ko shahheed kia aur #haq khaya 🖐🏻😡🐕 aur lanat un sab py jo un #haramio ky hamdard hain,aaaaahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,religious_hate_batch_008.csv,1,False,False,True,False,True,False,False,Too short,False
class2_batch009_sample011771,9,11771,2,Religious Hate,212771,216771,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Religious Hate examples,118,benchod randi  islam,wow halala's product on fire as usual porkistaniðÿ˜‚ðÿ˜‚ðÿ˜‚,"insaniyat ko bache rahne do, jis mazhab me janwar ka gala ret ke khushi banti hai, jis mazhab me soorma logo ko 72 virgin ladkiya baati jaati, jo duniya pe kabze ke sapne dekhta ho us mazhab se duuri banane me hi insaniyat ki bhalayi hai.",is cult  mein kisi boht hi pyare ko kho dene k baad uski qaber pe phool rakhna b jurm hai west mein qaberisat se phool chura k un ko sale kr k ahmdi chanda dia karte hain takey ragister se naam na kut jaye,halala ki paidaish,religious_hate_batch_009.csv,3,False,False,True,False,False,False,True,Exact duplicate,False
