production_candidate_id,batch_number,sample_index,class_id,target_label,generation_seed,demonstration_seed,prompt_version,prompting_strategy,demonstration_source,demonstration_pool_size,demo_1,demo_2,demo_3,demo_4,generated_text,source_batch_file,word_count,is_empty,has_urdu_script,has_latin_content,is_non_linguistic,is_too_short,is_too_long,is_exact_duplicate,stage0_rejection_reason,stage0_pass,xlmr_predicted_class_id,xlmr_predicted_class,stage1_pass,stage1_rejection_reason
class4_batch004_sample030600,4,30600,4,Profane,431600,435600,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,nazar lag gayi bhenchod fuck this i knew it would never last,slept for only 4 hours last night bc match daikhty daikhty girny wala hua wa hun,rt : bhenchod graph paper pe eraser use karo toh graph paper hi gayab ho jaata hai,why can’t i multitask???? i’m 22 fucking years old and i still dont know how to multitask bhenchod,"mera ghar ka sara kamaal kia tha, aaj mujhe kya pata tera ghar mein kya huwa?",profane_batch_004.csv,16,False,False,True,False,False,False,False,,True,1,Normal,False,Predicted class does not match intended class
class4_batch004_sample030601,4,30601,4,Profane,431601,435601,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,rt : birthday wali feel hi nai arahi bhenchod,dil sumbhal ja zra bhenchod,bhenchod aaj sirf roneka mann kar raha hai,bauhat sardi hai bc,bhai sahab ye duniya mein sabse kharabi galti ha,profane_batch_004.csv,9,False,False,True,False,False,False,False,,True,1,Normal,False,Predicted class does not match intended class
class4_batch004_sample030602,4,30602,4,Profane,431602,435602,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,rt : asa kon ludo khelta hi bc ....😇,bauhat sardi hai bc,bhenchod syllabus kuch aur..aur padhke kuch aur gaya.,mera bhi yaar bhai...jindgi jhand ho gya hai bhenchodv 3 t20 me 300 rupya haar gye....,bhenchod ye 25 feb ko koi aisa nhi hota bharwe,profane_batch_004.csv,10,False,False,True,False,False,False,False,,True,0,Abusive/Offensive,False,Predicted class does not match intended class
class4_batch004_sample030603,4,30603,4,Profane,431603,435603,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod kya hai ye sb,bc 40 rupees karaya kar diya hai is se acha to banda uber ya cream karwa laye 😏😏😏,"rt : yaar magar wifi bandh na karna, missile vissile daal do koi dikkat nahi, magar internet chahiye bc",bhenchod exams uff,teri maa ki phudi ka tatti gandu🖐️,profane_batch_004.csv,7,False,False,True,False,False,False,False,,True,0,Abusive/Offensive,False,Predicted class does not match intended class
class4_batch004_sample030604,4,30604,4,Profane,431604,435604,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,i hate ors bhenchod,my entire neighborhood is making weird sounds bhenchod shaddi hai kya,rona araha hai bhenchod why am i such a clown why am i so unimportant,bc bb khatm ho gya but i cant move on,yeh tu mjhy jitna nahi pata bhenchod,profane_batch_004.csv,7,False,False,True,False,False,False,False,,True,4,Profane,True,
class4_batch004_sample030605,4,30605,4,Profane,431605,435605,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod syllabus kuch aur..aur padhke kuch aur gaya.,"tm jao ma ni ja rha, pehly he adhi zindagi saffr mein guzr gai bc meri.",mere pas tum ho ny to puray saal ka rula dia bhenchod,bhenchod what a goal!,tm logo ko dikhta hai ab bhenchod apni tarah ke logon ki choti si nangi jagah se akela rakhty hain,profane_batch_004.csv,20,False,False,True,False,False,False,False,,True,4,Profane,True,
class4_batch004_sample030606,4,30606,4,Profane,431606,435606,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,slept for only 4 hours last night bc match daikhty daikhty girny wala hua wa hun,i hate ors bhenchod,bhenchod syllabus kuch aur..aur padhke kuch aur gaya.,ajeeeeb bc 😒😂,bhenchod chal kya raha hai,profane_batch_004.csv,5,False,False,True,False,False,False,False,,True,4,Profane,True,
class4_batch004_sample030607,4,30607,4,Profane,431607,435607,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod aaj sirf roneka mann kar raha hai,"tm jao ma ni ja rha, pehly he adhi zindagi saffr mein guzr gai bc meri.",code bhee saaf karna hai abheeee bc,"rt : yaar magar wifi bandh na karna, missile vissile daal do koi dikkat nahi, magar internet chahiye bc",tum logon ne apni maa ko mc bana diya hai😂,profane_batch_004.csv,10,False,False,True,False,False,False,False,,True,0,Abusive/Offensive,False,Predicted class does not match intended class
class4_batch004_sample030608,4,30608,4,Profane,431608,435608,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod exams uff,bhenchod bht kutti haaalat huwe we he bhai,"tm jao ma ni ja rha, pehly he adhi zindagi saffr mein guzr gai bc meri.","rt : koi physics samjha de bhenchod,,,,",ye abhi tak aisa hi hua tha yaar?,profane_batch_004.csv,8,False,False,True,False,False,False,False,,True,1,Normal,False,Predicted class does not match intended class
class4_batch004_sample030609,4,30609,4,Profane,431609,435609,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,rt : birthday wali feel hi nai arahi bhenchod,bhenchod parhna hai. par dimaagh ijazat nahi deta. ajeeb chutiyapa hai ye.,mera bhi yaar bhai...jindgi jhand ho gya hai bhenchodv 3 t20 me 300 rupya haar gye....,i should've a bhenchod counter which will count the amount of times i've sad bhenchod,"rt : ""yahodi yahan ka baap khanzeer khanzeer ki aulad hain"" #shuklaji",profane_batch_004.csv,12,False,False,True,False,False,False,False,,True,0,Abusive/Offensive,False,Predicted class does not match intended class
