sample_index,class_id,target_label,generation_seed,demonstration_seed,prompt_version,prompting_strategy,demonstration_source,demonstration_pool_size,demo_1,demo_2,demo_3,demo_4,generated_text
0,4,Profane,401000,405000,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,"tm jao ma ni ja rha, pehly he adhi zindagi saffr mein guzr gai bc meri.",bhenchod aaj sirf roneka mann kar raha hai,rt : birthday wali feel hi nai arahi bhenchod,bhenchod exams uff,randi ki nasal
1,4,Profane,401001,405001,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,nazar lag gayi bhenchod fuck this i knew it would never last,kyaaaa musibbaattt ha yr sara mood khraab kr diya ha bc,neend aa rhi h bc main sone jaa rhi hu 😂,rt : birthday wali feel hi nai arahi bhenchod,rt : ye mera jism meri marzi ki bat hi nahi ab baat chod lgta ha
2,4,Profane,401002,405002,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,rt : asa kon ludo khelta hi bc ....😇,inn coaching vaalou ko kaise pta chal jaata hai mera result bhenchod.,mere pas tum ho ny to puray saal ka rula dia bhenchod,i hate ors bhenchod,bhenchod jb mujhe apna number dila diya tha tere liye to maine tu dekh lea tha aur tu hi dekha kehne nhi bol raha tha
3,4,Profane,401003,405003,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod aaj sirf roneka mann kar raha hai,naak bandd ho gya bc.,bhenchod mairi thand se phatt rahi hai,i hate ors bhenchod,rt : tumhari maa chod dunga yaar ye kya bolti ha
4,4,Profane,401004,405004,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod bht kutti haaalat huwe we he bhai,mere pas tum ho ny to puray saal ka rula dia bhenchod,bc 40 rupees karaya kar diya hai is se acha to banda uber ya cream karwa laye 😏😏😏,bhenchod mairi thand se phatt rahi hai,rt : bc uska tareeqa hai ke kisi ko kabhi goli nahi mar sakta
5,4,Profane,401005,405005,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,code bhee saaf karna hai abheeee bc,bc 40 rupees karaya kar diya hai is se acha to banda uber ya cream karwa laye 😏😏😏,kyaaaa musibbaattt ha yr sara mood khraab kr diya ha bc,i should've a bhenchod counter which will count the amount of times i've sad bhenchod,rt : 50 rupay kro tu nikl jaon ga 😂
6,4,Profane,401006,405006,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bhenchod kya hai ye sb,dil sumbhal ja zra bhenchod,why can’t i multitask???? i’m 22 fucking years old and i still dont know how to multitask bhenchod,rt : kisi ko bhulnay k liye ussay yaad karna parta hai. aur idhr bhenchod yaad hi ati rehti hai bus,bhenchod abhi tak to tere baare mein sach mein samaj nahi aaya
7,4,Profane,401007,405007,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,neend aa rhi h bc main sone jaa rhi hu 😂,rt : bhenchod graph paper pe eraser use karo toh graph paper hi gayab ho jaata hai,main 5'8 ke sath bh chota lgta hn bc😶😑😑😑,my entire neighborhood is making weird sounds bhenchod shaddi hai kya,2008 mein dekh li thi uske time se bhi paisy nahi hue
8,4,Profane,401008,405008,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,ajeeeeb bc 😒😂,main 5'8 ke sath bh chota lgta hn bc😶😑😑😑,rt : bhenchod graph paper pe eraser use karo toh graph paper hi gayab ho jaata hai,neend aa rhi h bc main sone jaa rhi hu 😂,rt : nhi bhenchod.. yeh wale koi mazaq nahi krte
9,4,Profane,401009,405009,v3_original_demo_boundary_prompt,4-shot random authentic same-class,Shortlisted authentic RUHSOLD Profane examples,40,bc bb khatm ho gya but i cant move on,rt : kisi ko bhulnay k liye ussay yaad karna parta hai. aur idhr bhenchod yaad hi ati rehti hai bus,fuck man. the pain is traveling. bhenchod ye naya e corridor khul gya hai.,main 5'8 ke sath bh chota lgta hn bc😶😑😑😑,rt : bhai ek din tum logon ka dum dil kr denge jab tak ye sach pata nahi hongey...
